listing_id,host_is_superhost,neighbourhood_group_cleansed,accommodates,price,review_scores_rating
536,0,Brooklyn,4,190.00,4.73
537,1,Brooklyn,2,127.00,5
538,0,Manhattan,2,196.00,5
539,0,Manhattan,12,432.00,5
540,1,Brooklyn,2,49.00,4.82
541,1,Queens,2,40.00,4
542,1,Manhattan,4,275.00,4.97
543,0,Bronx,8,165.00,3.83
544,1,Queens,2,65.00,4.88
545,1,Bronx,2,120.00,4.77
546,1,Brooklyn,1,53.00,4.23
547,0,Staten Island,1,55.00,4.87
548,0,Queens,3,153.00,4.66
549,0,Queens,1,32.00,3
550,0,Queens,8,299.00,4.78
551,1,Queens,2,65.00,4.53
552,0,Brooklyn,2,99.00,4.79
553,0,Manhattan,2,91.00,4.77
554,0,Queens,10,600.00,4.81
555,0,Brooklyn,2,46.00,4.27
556,1,Brooklyn,4,150.00,4.71
557,0,Staten Island,2,52.00,4.78
558,1,Brooklyn,1,70.00,4.98
559,1,Brooklyn,1,61.00,4.8
560,1,Queens,2,65.00,4.71
561,0,Queens,1,90.00,4.81
562,1,Queens,1,51.00,5
563,0,Brooklyn,6,750.00,5
564,1,Brooklyn,3,150.00,4.92
565,1,Brooklyn,4,221.00,4.5
566,1,Queens,1,104.00,5
567,0,Manhattan,5,743.00,4.6
568,0,Queens,2,82.00,4.94
569,0,Manhattan,2,169.00,4.67
570,1,Manhattan,4,999.00,4.9
571,1,Brooklyn,1,81.00,4.79
572,0,Brooklyn,2,120.00,5
573,1,Manhattan,4,469.00,5
574,1,Queens,2,225.00,5
575,0,Brooklyn,1,56.00,5
576,1,Brooklyn,2,60.00,4.86
577,0,Brooklyn,2,100.00,4.75
578,0,Brooklyn,2,49.00,4.42
579,0,Brooklyn,2,312.00,4.38
580,0,Brooklyn,2,92.00,4.8
581,0,Manhattan,2,72.00,4.73
582,0,Brooklyn,2,50.00,3
583,1,Brooklyn,2,115.00,5
584,0,Brooklyn,1,65.00,4.77
585,0,Manhattan,1,65.00,5
586,0,Staten Island,2,60.00,4.95
587,0,Manhattan,3,69.00,4.58
588,1,Brooklyn,2,169.00,5
589,1,Brooklyn,4,295.00,4.92
590,0,Brooklyn,3,130.00,4.52
591,0,Manhattan,4,329.00,4.67
592,1,Manhattan,7,804.00,4.88
593,0,Manhattan,9,2500.00,4.96
594,0,Manhattan,3,123.00,3
595,0,Queens,2,120.00,4.82
596,0,Manhattan,1,218.00,5
597,1,Manhattan,1,150.00,5
598,1,Manhattan,2,326.00,4.9
599,1,Brooklyn,1,55.00,4.94
600,1,Brooklyn,2,165.00,4.97
601,1,Bronx,1,63.00,4.88
602,1,Manhattan,1,90.00,5
603,0,Bronx,1,40.00,4.56
604,0,Brooklyn,1,55.00,4.25
605,1,Manhattan,2,160.00,4.9
606,1,Manhattan,4,210.00,5
607,1,Bronx,1,58.00,4.91
608,0,Bronx,3,200.00,4.86
609,0,Brooklyn,1,64.00,2
610,1,Queens,2,157.00,4.84
611,0,Manhattan,8,636.00,4.48
612,0,Queens,2,90.00,4.76
613,0,Manhattan,1,87.00,5
614,0,Manhattan,2,87.00,4.7
615,0,Bronx,2,129.00,4.87
616,0,Brooklyn,2,46.00,4.97
617,1,Bronx,3,125.00,4.87
618,0,Manhattan,2,489.00,4.61
619,1,Brooklyn,4,90.00,4.86
620,1,Brooklyn,4,90.00,5
621,0,Manhattan,3,600.00,5
622,1,Queens,4,120.00,4.5
623,0,Queens,2,120.00,4.64
624,0,Queens,2,78.00,4.5
625,1,Staten Island,4,115.00,4.87
626,1,Bronx,3,95.00,4.86
627,1,Brooklyn,4,104.00,4.8
628,1,Brooklyn,4,410.00,4.95
629,0,Manhattan,6,155.00,4.5
630,1,Brooklyn,6,179.00,4.96
631,0,Queens,4,74.00,5
632,0,Queens,2,40.00,5
633,0,Bronx,4,75.00,4.75
634,0,Queens,3,110.00,5
635,0,Manhattan,6,402.00,4.76
636,0,Queens,6,175.00,4.99
637,0,Queens,2,68.00,4.72
638,0,Queens,2,50.00,4.59
639,0,Bronx,1,40.00,4.25
640,0,Queens,4,225.00,4.96
641,0,Queens,2,257.00,5
642,0,Queens,2,75.00,4.75
643,1,Manhattan,2,99.00,5
644,0,Brooklyn,3,84.00,4.78
645,0,Brooklyn,2,70.00,4.7
646,0,Staten Island,2,60.00,4.67
647,0,Manhattan,2,220.00,4.5
648,1,Brooklyn,3,150.00,4.86
649,0,Queens,5,200.00,5
650,0,Manhattan,4,345.00,4.73
651,0,Bronx,2,49.00,4.27
652,0,Brooklyn,2,50.00,4
653,0,Brooklyn,2,150.00,3.4
654,0,Brooklyn,2,100.00,5
655,0,Brooklyn,3,65.00,4.73
656,0,Queens,2,160.00,3.75
657,1,Brooklyn,6,289.00,4.98
658,0,Queens,7,135.00,4.69
659,0,Queens,2,85.00,4.87
660,0,Manhattan,2,70.00,4.65
661,1,Brooklyn,2,94.00,5
662,0,Brooklyn,1,55.00,5
663,1,Brooklyn,4,75.00,4.97
664,0,Bronx,4,250.00,4.81
665,1,Brooklyn,1,60.00,4.91
666,0,Manhattan,2,89.00,4.73
667,0,Queens,2,45.00,4.89
668,0,Queens,6,185.00,4.5
669,0,Manhattan,1,74.00,3
670,0,Queens,2,120.00,5
671,0,Queens,4,325.00,4.38
672,0,Brooklyn,1,85.00,5
673,1,Staten Island,2,220.00,4.87
674,1,Queens,2,137.00,4.93
675,0,Manhattan,1,66.00,5
676,0,Brooklyn,4,157.00,4.83
677,0,Brooklyn,4,189.00,4.8
678,1,Brooklyn,8,490.00,4.87
679,1,Queens,4,175.00,4.97
680,0,Queens,2,120.00,4.25
681,1,Brooklyn,2,175.00,4.96
682,1,Brooklyn,4,145.00,4.76
683,1,Queens,2,205.00,5
684,0,Brooklyn,2,115.00,4.57
685,1,Brooklyn,2,170.00,4.9
686,1,Brooklyn,1,70.00,4.94
687,0,Brooklyn,2,95.00,4.76
688,1,Manhattan,2,72.00,4.95
689,0,Queens,4,124.00,5
690,0,Brooklyn,1,49.00,5
691,1,Brooklyn,5,104.00,5
692,0,Queens,2,48.00,4.38
693,0,Manhattan,2,38.00,5
694,0,Brooklyn,1,85.00,5
695,0,Manhattan,1,45.00,4.56
696,0,Queens,1,38.00,4.45
697,0,Staten Island,2,75.00,4.5
698,1,Brooklyn,1,55.00,5
699,0,Queens,4,89.00,5
700,1,Manhattan,2,245.00,4.57
701,0,Queens,1,32.00,4
702,1,Queens,2,125.00,5
703,0,Staten Island,2,47.00,4.86
704,1,Queens,1,58.00,4.83
705,0,Manhattan,2,40.00,5
706,1,Queens,12,328.00,4.33
707,1,Brooklyn,1,47.00,4.94
708,0,Brooklyn,4,150.00,5
709,1,Brooklyn,2,75.00,4.94
710,1,Queens,4,139.00,4
711,1,Brooklyn,4,100.00,5
712,0,Brooklyn,1,36.00,5
713,1,Brooklyn,1,47.00,4.94
714,0,Brooklyn,3,210.00,4.85
715,0,Staten Island,2,188.00,4.86
716,1,Brooklyn,2,55.00,4.78
717,1,Brooklyn,2,49.00,4.83
718,0,Manhattan,1,38.00,5
719,0,Queens,6,210.00,5
720,0,Brooklyn,1,90.00,5
721,1,Brooklyn,4,120.00,4.89
722,0,Brooklyn,2,47.00,2
723,0,Brooklyn,1,46.00,4.75
724,0,Brooklyn,2,56.00,4
725,0,Brooklyn,5,214.00,4.18
