listing_id,host_is_superhost,neighbourhood_group_cleansed,accommodates,price,review_scores_rating
319,0,Manhattan,3,560.0,4.9
320,1,Manhattan,4,428.0,4.97
321,0,Manhattan,2,198.0,5.0
322,1,Manhattan,2,456.0,4.93
323,0,Manhattan,2,58.0,4.91
324,0,Manhattan,1,166.0,4.67
325,1,Brooklyn,2,204.0,4.85
326,1,Manhattan,4,175.0,5.0
327,0,Manhattan,5,213.0,4.0
328,0,Brooklyn,13,1100.0,5.0
329,0,Manhattan,4,144.0,4.8
330,1,Manhattan,4,695.0,4.86
331,0,Queens,1,38.0,1.0
332,0,Brooklyn,1,21.0,4.5
333,0,Manhattan,4,117.0,4.3
334,0,Manhattan,9,193.0,4.38
335,1,Manhattan,3,123.0,4.35
336,0,Queens,4,105.0,4.81
337,1,Staten Island,2,78.0,4.91
338,1,Brooklyn,2,249.0,4.86
339,1,Queens,9,300.0,4.9
340,1,Manhattan,2,105.0,4.97
341,1,Queens,12,250.0,4.83
342,0,Queens,1,37.0,4.67
343,0,Queens,7,259.0,4.42
344,0,Queens,1,35.0,5.0
345,0,Brooklyn,4,119.0,4.79
346,1,Brooklyn,2,124.0,4.74
347,1,Queens,2,133.0,4.96
348,0,Queens,6,139.0,3.5
349,1,Brooklyn,2,150.0,4.86
350,0,Queens,1,65.0,4.85
351,0,Brooklyn,2,290.0,5.0
352,0,Queens,4,45.0,1.0
353,0,Staten Island,2,59.0,5.0
354,1,Queens,7,317.0,4.95
355,0,Brooklyn,2,93.0,4.77
356,0,Queens,1,36.0,5.0
357,1,Queens,5,160.0,4.86
358,0,Brooklyn,2,100.0,4.57
359,1,Queens,3,135.0,4.94
360,0,Queens,2,43.0,4.31
361,0,Bronx,4,200.0,1.0
362,0,Queens,2,150.0,4.89
363,0,Bronx,2,100.0,4.73
364,1,Queens,2,170.0,4.67
365,0,Brooklyn,4,215.0,4.75
366,0,Queens,3,100.0,4.5
367,0,Queens,3,90.0,5.0
368,0,Brooklyn,2,60.0,4.76
369,0,Brooklyn,6,282.0,4.89
370,0,Manhattan,3,190.0,4.63
371,0,Brooklyn,4,323.0,4.78
372,1,Manhattan,1,142.0,4.94
373,0,Manhattan,2,250.0,4.8
374,1,Brooklyn,4,130.0,4.95
375,0,Brooklyn,7,180.0,4.5
376,1,Manhattan,4,380.0,5.0
377,1,Queens,4,182.0,4.81
378,0,Brooklyn,4,150.0,4.32
